Product ID,Store ID,Current Price,Optimal Price,Expected Revenue
9502.0,13.0,31.61,47.42,11431.31
2068.0,77.0,35.51,45.37,8825.77
7103.0,59.0,6.54,9.81,2042.09
5288.0,19.0,13.61,20.42,5354.96
7212.0,66.0,62.68,80.09,15899.54
4809.0,6.0,44.87,44.87,20281.24
2127.0,6.0,34.99,52.48,12160.23
2914.0,86.0,27.91,41.86,12835.47
7111.0,38.0,57.49,57.49,18741.74
3500.0,19.0,62.71,94.06,26653.26
6842.0,9.0,12.02,12.02,4699.82
4766.0,60.0,63.8,67.34,10358.9
8681.0,5.0,59.02,88.53,28464.22
7044.0,39.0,20.23,30.34,10046.82
2376.0,48.0,39.26,58.89,19372.75
9814.0,28.0,74.7,112.05,37288.5
3161.0,95.0,73.32,109.98,26201.57
9681.0,62.0,47.46,71.19,22255.31
3684.0,76.0,20.31,30.46,8601.68
8289.0,47.0,64.62,96.93,43805.07
2211.0,22.0,88.65,88.65,33332.4
1343.0,74.0,68.81,103.22,31818.39
6001.0,11.0,43.99,65.98,17639.0
9130.0,56.0,46.39,69.59,17782.61
2760.0,92.0,32.47,48.7,14778.27
6920.0,16.0,90.91,136.36,26080.98
5122.0,65.0,20.78,31.17,4124.12
8445.0,49.0,65.6,98.4,23233.2
7375.0,73.0,65.77,98.66,20330.32
6990.0,45.0,70.35,105.52,27922.11
7309.0,38.0,5.48,8.22,3406.7
2665.0,32.0,98.37,147.56,38661.95
6911.0,11.0,32.66,48.99,10939.53
8109.0,68.0,94.26,94.26,32519.7
1792.0,12.0,40.25,60.38,13669.73
6020.0,24.0,47.43,71.14,20091.49
6654.0,28.0,92.37,138.56,29301.39
7945.0,59.0,32.07,44.54,15829.01
6028.0,80.0,68.28,102.42,24340.13
9905.0,30.0,52.76,79.14,19147.52
5279.0,16.0,35.31,52.96,10914.47
2220.0,30.0,47.39,71.09,21600.72
4303.0,91.0,26.27,39.4,8978.88
9252.0,6.0,58.19,67.89,17961.82
2577.0,95.0,43.37,65.05,17765.31
5959.0,19.0,76.28,114.42,21748.13
4684.0,98.0,96.4,144.6,17758.47
2324.0,96.0,29.39,44.08,11968.63
2543.0,63.0,29.91,44.86,10060.92
6634.0,45.0,50.62,75.93,17940.14
1099.0,43.0,63.67,95.5,37649.36
9183.0,31.0,70.96,106.44,27095.69
8470.0,6.0,18.36,27.54,6531.33
9548.0,93.0,14.05,21.08,5112.95
4764.0,85.0,95.18,142.77,38875.06
9086.0,97.0,27.77,41.66,12975.65
5066.0,43.0,23.16,34.74,6665.42
1791.0,72.0,5.64,8.46,2580.5
1054.0,82.0,91.18,136.77,21577.86
3178.0,65.0,63.82,81.55,17371.54
2868.0,45.0,23.87,35.8,10014.64
4021.0,58.0,56.06,77.86,24645.3
9935.0,64.0,22.83,34.24,8817.51
6738.0,4.0,7.61,11.42,1313.19
8963.0,71.0,11.08,16.62,7409.33
7519.0,52.0,55.71,77.38,16575.89
9482.0,4.0,75.8,113.7,27028.88
2048.0,83.0,62.45,86.74,20956.74
3545.0,61.0,65.24,90.61,27863.61
6288.0,33.0,55.43,55.43,23668.61
6520.0,25.0,85.84,90.61,22402.89
3870.0,49.0,85.07,127.6,41352.47
6504.0,5.0,47.24,70.86,20719.55
5655.0,64.0,73.29,109.94,27463.8
5489.0,26.0,75.67,96.69,17494.07
6606.0,90.0,96.65,144.98,33228.24
3504.0,16.0,64.96,97.44,21693.25
2823.0,21.0,81.95,122.93,32092.38
7536.0,44.0,60.49,90.74,30241.73
1392.0,91.0,51.02,76.53,20084.62
4208.0,69.0,85.91,128.86,29011.72
5704.0,38.0,38.1,57.15,12701.31
3913.0,38.0,14.29,21.44,3243.52
4031.0,72.0,86.89,130.34,35879.2
3226.0,66.0,50.65,75.97,21141.31
8856.0,22.0,62.0,93.0,12132.45
1248.0,38.0,74.83,87.3,26474.97
7667.0,97.0,76.05,114.07,37202.47
9299.0,70.0,11.97,17.96,3701.26
9379.0,94.0,55.43,83.14,18714.49
3312.0,84.0,21.99,32.98,6634.27
9188.0,84.0,90.29,135.44,48035.7
2679.0,91.0,30.18,45.27,9035.75
6095.0,6.0,78.83,118.24,24583.67
9792.0,69.0,84.97,127.46,34513.06
1150.0,56.0,43.68,65.52,20755.05
6273.0,15.0,41.25,57.29,16354.84
3351.0,17.0,34.37,51.55,10252.29
7654.0,54.0,27.35,41.03,9475.76
5512.0,6.0,46.78,64.97,21317.61
5457.0,24.0,7.66,11.49,1909.12
2511.0,69.0,9.17,13.76,5005.2
4716.0,49.0,76.51,114.77,41406.42
